"","reg","deaths","date","year","weekno"
"316","East",847,2010-08-13,2010,33
"317","London",783,2010-08-13,2010,33
"318","South East",1292,2010-08-13,2010,33
"319","South West",874,2010-08-13,2010,33
"320","Wales",510,2010-08-13,2010,33
"321","North East",447,2010-08-20,2010,34
"322","North West",1169,2010-08-20,2010,34
"323","Yorkshire and The Humber",850,2010-08-20,2010,34
"324","East Midlands",721,2010-08-20,2010,34
"325","West Midlands",905,2010-08-20,2010,34
"326","East",840,2010-08-20,2010,34
"327","London",882,2010-08-20,2010,34
"328","South East",1280,2010-08-20,2010,34
"329","South West",939,2010-08-20,2010,34
"330","Wales",526,2010-08-20,2010,34
"331","North East",471,2010-08-27,2010,35
"332","North West",1187,2010-08-27,2010,35
"333","Yorkshire and The Humber",895,2010-08-27,2010,35
"334","East Midlands",675,2010-08-27,2010,35
"335","West Midlands",901,2010-08-27,2010,35
"336","East",898,2010-08-27,2010,35
"337","London",817,2010-08-27,2010,35
"338","South East",1307,2010-08-27,2010,35
"339","South West",938,2010-08-27,2010,35
"340","Wales",511,2010-08-27,2010,35
"341","North East",407,2010-09-03,2010,36
"342","North West",1081,2010-09-03,2010,36
"343","Yorkshire and The Humber",788,2010-09-03,2010,36
"344","East Midlands",626,2010-09-03,2010,36
"345","West Midlands",784,2010-09-03,2010,36
"346","East",784,2010-09-03,2010,36
"347","London",740,2010-09-03,2010,36
"348","South East",1151,2010-09-03,2010,36
"349","South West",817,2010-09-03,2010,36
"350","Wales",514,2010-09-03,2010,36
"351","North East",446,2010-09-10,2010,37
"352","North West",1313,2010-09-10,2010,37
"353","Yorkshire and The Humber",866,2010-09-10,2010,37
"354","East Midlands",784,2010-09-10,2010,37
"355","West Midlands",877,2010-09-10,2010,37
"356","East",897,2010-09-10,2010,37
"357","London",838,2010-09-10,2010,37
"358","South East",1372,2010-09-10,2010,37
"359","South West",992,2010-09-10,2010,37
"360","Wales",531,2010-09-10,2010,37
"361","North East",442,2010-09-17,2010,38
"362","North West",1256,2010-09-17,2010,38
"363","Yorkshire and The Humber",830,2010-09-17,2010,38
"364","East Midlands",736,2010-09-17,2010,38
"365","West Midlands",856,2010-09-17,2010,38
"366","East",891,2010-09-17,2010,38
"367","London",880,2010-09-17,2010,38
"368","South East",1348,2010-09-17,2010,38
"369","South West",933,2010-09-17,2010,38
"370","Wales",508,2010-09-17,2010,38
"371","North East",468,2010-09-24,2010,39
"372","North West",1137,2010-09-24,2010,39
"373","Yorkshire and The Humber",907,2010-09-24,2010,39
"374","East Midlands",819,2010-09-24,2010,39
"375","West Midlands",920,2010-09-24,2010,39
"376","East",949,2010-09-24,2010,39
"377","London",858,2010-09-24,2010,39
"378","South East",1364,2010-09-24,2010,39
"379","South West",930,2010-09-24,2010,39
"380","Wales",567,2010-09-24,2010,39
"381","North East",448,2010-10-01,2010,40
"382","North West",1252,2010-10-01,2010,40
"383","Yorkshire and The Humber",885,2010-10-01,2010,40
"384","East Midlands",698,2010-10-01,2010,40
"385","West Midlands",892,2010-10-01,2010,40
"386","East",898,2010-10-01,2010,40
"387","London",852,2010-10-01,2010,40
"388","South East",1294,2010-10-01,2010,40
"389","South West",934,2010-10-01,2010,40
"390","Wales",579,2010-10-01,2010,40
"391","North East",501,2010-10-08,2010,41
"392","North West",1265,2010-10-08,2010,41
"393","Yorkshire and The Humber",853,2010-10-08,2010,41
"394","East Midlands",744,2010-10-08,2010,41
"395","West Midlands",931,2010-10-08,2010,41
"396","East",967,2010-10-08,2010,41
"397","London",955,2010-10-08,2010,41
"398","South East",1448,2010-10-08,2010,41
"399","South West",937,2010-10-08,2010,41
"400","Wales",580,2010-10-08,2010,41
"401","North East",485,2010-10-15,2010,42
"402","North West",1239,2010-10-15,2010,42
"403","Yorkshire and The Humber",907,2010-10-15,2010,42
"404","East Midlands",737,2010-10-15,2010,42
"405","West Midlands",988,2010-10-15,2010,42
"406","East",993,2010-10-15,2010,42
"407","London",898,2010-10-15,2010,42
"408","South East",1415,2010-10-15,2010,42
"409","South West",976,2010-10-15,2010,42
