"","week","deaths","age","year","weekno","reg"
"176",2018-08-10,9319,"Total",2018,32,"England & Wales"
"177",2010-09-10,8961,"Total",2010,37,"England & Wales"
"178",2014-10-10,9173,"Total",2014,41,"England & Wales"
"179",2017-11-10,10344,"Total",2017,45,"England & Wales"
"180",2010-12-10,11192,"Total",2010,50,"England & Wales"
"181",2013-01-11,12540,"Total",2013,2,"England & Wales"
"182",2019-01-11,12609,"Total",2019,2,"England & Wales"
"183",2011-02-11,10018,"Total",2011,6,"England & Wales"
"184",2011-03-11,9648,"Total",2011,10,"England & Wales"
"185",2016-03-11,11005,"Total",2016,11,"England & Wales"
"186",2014-04-11,9500,"Total",2014,15,"England & Wales"
"187",2012-05-11,8857,"Total",2012,19,"England & Wales"
"188",2018-05-11,8624,"Total",2018,19,"England & Wales"
"189",2010-06-11,9259,"Total",2010,24,"England & Wales"
"190",2014-07-11,8782,"Total",2014,28,"England & Wales"
"191",2017-08-11,9038,"Total",2017,32,"England & Wales"
"192",2015-09-11,9254,"Total",2015,37,"England & Wales"
"193",2013-10-11,8939,"Total",2013,41,"England & Wales"
"194",2019-10-11,9973,"Total",2019,41,"England & Wales"
"195",2011-11-11,9042,"Total",2011,45,"England & Wales"
"196",2016-11-11,10467,"Total",2016,46,"England & Wales"
"197",2015-12-11,10257,"Total",2015,50,"England & Wales"
"198",2018-01-12,15050,"Total",2018,2,"England & Wales"
"199",2010-02-12,10116,"Total",2010,7,"England & Wales"
"200",2016-02-12,11154,"Total",2016,7,"England & Wales"
"201",2010-03-12,9788,"Total",2010,11,"England & Wales"
"202",2013-04-12,12134,"Total",2013,15,"England & Wales"
"203",2019-04-12,10291,"Total",2019,15,"England & Wales"
"204",2017-05-12,10690,"Total",2017,19,"England & Wales"
"205",2015-06-12,9547,"Total",2015,24,"England & Wales"
"206",2013-07-12,8533,"Total",2013,28,"England & Wales"
"207",2019-07-12,9179,"Total",2019,28,"England & Wales"
"208",2011-08-12,8573,"Total",2011,32,"England & Wales"
"209",2016-08-12,9161,"Total",2016,33,"England & Wales"
"210",2014-09-12,9284,"Total",2014,37,"England & Wales"
"211",2012-10-12,9441,"Total",2012,41,"England & Wales"
"212",2018-10-12,9649,"Total",2018,41,"England & Wales"
"213",2010-11-12,9406,"Total",2010,46,"England & Wales"
"214",2014-12-12,10546,"Total",2014,50,"England & Wales"
"215",2012-01-13,11290,"Total",2012,2,"England & Wales"
"216",2017-01-13,13715,"Total",2017,2,"England & Wales"
"217",2015-02-13,11822,"Total",2015,7,"England & Wales"
"218",2015-03-13,10949,"Total",2015,11,"England & Wales"
