"","age...1","sex...2","week","deaths","year","weekno","reg","age"
"198","01-14","Female",2010-04-02,8,2010,14,"England & Wales","01-14"
"199","15-44","Male",2010-04-02,144,2010,14,"England & Wales","15-44"
"200","15-44","Female",2010-04-02,86,2010,14,"England & Wales","15-44"
"201","45-64","Male",2010-04-02,614,2010,14,"England & Wales","45-64"
"202","45-64","Female",2010-04-02,421,2010,14,"England & Wales","45-64"
"203","65-74","Male",2010-04-02,749,2010,14,"England & Wales","65-74"
"204","65-74","Female",2010-04-02,507,2010,14,"England & Wales","65-74"
"205","75-84","Male",2010-04-02,1236,2010,14,"England & Wales","75-84"
"206","75-84","Female",2010-04-02,1149,2010,14,"England & Wales","75-84"
"207","85+","Male",2010-04-02,1067,2010,14,"England & Wales","85+"
"208","85+","Female",2010-04-02,1904,2010,14,"England & Wales","85+"
"209","Total","Male",2010-04-09,4747,2010,15,"England & Wales","Total"
"210","Total","Female",2010-04-09,4982,2010,15,"England & Wales","Total"
"211","Under 1 year","Male",2010-04-09,35,2010,15,"England & Wales","Under 1 year"
"212","Under 1 year","Female",2010-04-09,31,2010,15,"England & Wales","Under 1 year"
"213","01-14","Male",2010-04-09,9,2010,15,"England & Wales","01-14"
"214","01-14","Female",2010-04-09,10,2010,15,"England & Wales","01-14"
"215","15-44","Male",2010-04-09,176,2010,15,"England & Wales","15-44"
"216","15-44","Female",2010-04-09,112,2010,15,"England & Wales","15-44"
"217","45-64","Male",2010-04-09,764,2010,15,"England & Wales","45-64"
"218","45-64","Female",2010-04-09,478,2010,15,"England & Wales","45-64"
"219","65-74","Male",2010-04-09,949,2010,15,"England & Wales","65-74"
"220","65-74","Female",2010-04-09,654,2010,15,"England & Wales","65-74"
"221","75-84","Male",2010-04-09,1538,2010,15,"England & Wales","75-84"
"222","75-84","Female",2010-04-09,1420,2010,15,"England & Wales","75-84"
"223","85+","Male",2010-04-09,1276,2010,15,"England & Wales","85+"
